 Host Star,# Planet, Planet Mass,Planet Mass, Orbital Period, Semi Major Axis,Discovery,Constellation,Visibility,V magnitude
HD 30177,HD 30177 b,7.70,2447.3,1620.00,2.6,2002,the Swordfish,Visible through binocular,8.4
HD 330075,HD 330075 b,0.62,197.1,3.39,0.039,2004,the Carpenter's Square,Visible through binocular,9.4
HD 33283,HD 33283 b,0.33,104.9,18.18,0.168,2006,the Hare ,Visible through binocular,8.1
HD 33564,HD 33564 b,9.10,2892.3,388.00,1.1,2005,the Giraffe,Visible to the naked eye,5.1
HD 3651,HD 3651 b,0.20,63.6,62.23,0.284,2003,the Fishes ,Faint to the naked eye,5.8
HD 37605,HD 37605 b,2.81,894.1,55.01,0.2837,2004,the Hunter,Visible through binocular,8.7
HD 38529,HD 38529 b,0.78,247.9,14.31,0.131,2000,the Hunter,Faint to the naked eye,5.9
HD 39091,HD 39091 b,10.30,3273.6,2049.00,3.28,2001,the Table Mountain,Faint to the naked eye,5.7
HD 40979,HD 40979 b,3.28,1042.5,263.10,0.83,2002,the Charioteer ,Visible through binocular,6.7
HD 41004 A,HD 41004 A b,2.54,807.3,963.00,1.64,2004,the Painter's Easel ,Visible through binocular,8.7
HD 4113,HD 4113 b,1.56,495.8,526.62,1.28,2007,the Sculptor,Visible through binocular,7.9
HD 4203,HD 4203 b,1.82,578.5,437.05,1.164,2001,the Fishes ,Visible through binocular,8.7
HD 4208,HD 4208 b,0.80,254.3,829.00,1.7,2001,the Sculptor,Visible through binocular,7.8
HD 4308,HD 4308 b,0.04,12.9,15.61,0.118,2005,the Toucan ,Visible through binocular,6.5
HD 43691,HD 43691 b,2.49,791.4,36.96,0.24,2007,the Charioteer ,Visible through binocular,8.0
HD 45350,HD 45350 b,1.79,568.9,890.76,1.92,2004,the Charioteer ,Visible through binocular,7.9
HD 45652,HD 45652 b,0.47,149.4,43.60,0.23,2008,the Unicorn,Visible through binocular,8.1
HD 46375,HD 46375 b,0.25,79.1,3.02,0.041,2000,the Unicorn,Visible through binocular,7.9
HD 47536,HD 47536 b,5.00,1589.2,430.00,1.61,2003,the Great Dog,Visible to the naked eye,5.3
HD 48265,HD 48265 b,1.16,368.7,700.00,1.51,2008,the Stern ,Visible through binocular,8.1
HD 49674,HD 49674 b,0.12,36.6,4.94,0.058,2002,the Charioteer ,Visible through binocular,8.1
HD 50499,HD 50499 b,1.71,543.5,2482.70,3.86,2005,the Stern ,Visible through binocular,7.2
HD 50554,HD 50554 b,5.16,1640.0,1293.00,2.41,2002,the Twins ,Visible through binocular,6.9
HD 52265,HD 52265 b,1.05,333.7,119.60,0.5,2000,the Unicorn,Very faint to the naked eye,6.3
HD 5319,HD 5319 b,1.94,616.6,675.00,1.75,2007,the Sea Monster,Visible through binocular,8.1
HD 63454,HD 63454 b,0.38,120.8,2.82,0.036,2005,the Chameleon ,Visible through binocular,9.4
HD 6434,HD 6434 b,0.39,124.0,22.00,0.14,2000,the Phoenix ,Visible through binocular,7.7
HD 65216,HD 65216 b,1.26,400.5,572.40,1.3,2003,the Keel,Visible through binocular,8.0
HD 66428,HD 66428 b,2.82,896.3,1973.00,3.18,2006,the Unicorn,Visible through binocular,8.3
HD 68988,HD 68988 b,1.90,603.9,6.28,0.071,2001,the Great Bear ,Visible through binocular,8.2
HD 70573,HD 70573 b,6.10,1938.8,851.80,1.76,2007,the Female Water Snake,Visible through binocular,8.7
HD 70642,HD 70642 b,2.00,635.7,2231.00,3.3,2003,the Stern ,Visible through binocular,7.2
HD 72659,HD 72659 b,3.15,1001.2,3658.00,4.74,2002,the Female Water Snake,Visible through binocular,7.5
HD 73256,HD 73256 b,1.87,594.3,2.55,0.037,2003,the Compass ,Visible through binocular,8.1
HD 73267,HD 73267 b,3.06,972.6,1260.00,2.198,2008,the Compass ,Visible through binocular,8.9
HD 73534,HD 73534 b,1.15,365.5,1800.00,3.15,2008,the Crab,Visible through binocular,8.2
HD 75289,HD 75289 b,0.42,133.5,3.51,0.046,1999,the Sails ,Very faint to the naked eye,6.4
HD 75898,HD 75898 b,2.51,797.8,418.20,1.19,2007,the Lynx,Visible through binocular,8.0
HD 76700,HD 76700 b,0.20,62.6,3.97,0.049,2002,the Flying Fish ,Visible through binocular,8.1
HD 7924,HD 7924 b,0.03,9.2,5.40,0.057,2008,the Seated Queen,Visible through binocular,7.2
HD 80606,HD 80606 b,3.94,1252.3,111.44,0.449,2001,the Great Bear ,Visible through binocular,8.9
HD 81040,HD 81040 b,6.86,2180.3,1001.70,1.94,2005,the Lion ,Visible through binocular,7.7
HD 81688,HD 81688 b,2.70,858.1,184.02,0.81,2008,the Great Bear ,Visible to the naked eye,5.4
HD 83443,HD 83443 b,0.40,127.1,2.99,0.0406,2002,the Sails ,Visible through binocular,8.2
HD 8574,HD 8574 b,2.11,670.6,227.55,0.77,2003,the Fishes ,Visible through binocular,7.1
HD 86081,HD 86081 b,1.50,476.7,2.14,0.039,2006,the Sextant ,Visible through binocular,8.7
HD 88133,HD 88133 b,0.22,69.9,3.42,0.047,2004,the Lion ,Visible through binocular,8.0
HD 89307,HD 89307 b,2.00,635.7,2199.00,3.34,2004,the Lion ,Visible through binocular,7.1
HD 89744,HD 89744 b,7.20,2288.4,256.00,0.88,2000,the Great Bear ,Faint to the naked eye,5.7
HD 92788,HD 92788 b,3.86,1226.8,325.81,0.97,2000,the Sextant ,Visible through binocular,7.3
HD 93083,HD 93083 b,0.37,117.6,143.58,0.477,2005,the Air Pump,Visible through binocular,8.3
HD 99109,HD 99109 b,0.50,159.6,439.30,1.105,2006,the Lion ,Visible through binocular,9.1
HD 99492,HD 99492 b,0.11,34.6,17.04,0.1232,2004,the Lion ,Visible through binocular,7.4
iota Horologii,iota Horologii b,2.26,718.3,320.10,0.925,1999,the Clock ,Visible to the naked eye,5.4
kappa Coronae Borealis,kappa Coronae Borealis b,1.60,508.5,1251.00,2.6,2007,the Northern Crown ,Visible to the naked eye,4.8
MOA-2007-BLG-192-L,MOA-2007-BLG-192-L b,0.01,3.2,,0.66,2008,the Archer ,,
MOA-2007-BLG-400-L,MOA-2007-BLG-400-L b,0.90,286.0,,0.85,2008,the Archer ,,
NGC 2423 3,NGC 2423 3 b,10.60,3369.0,714.30,2.1,2007,the Stern ,Visible through binocular,9.5
OGLE-05-071L,OGLE-05-071L b,3.50,1112.4,3600.00,3.6,2005,the Scorpion ,,
OGLE-05-169L,OGLE-05-169L b,0.04,12.7,3300.00,2.8,2005,the Archer ,,
OGLE-05-390L,OGLE-05-390L b,0.02,5.4,3500.00,2.1,2005,the Scorpion ,,
OGLE235-MOA53,OGLE235-MOA53 b,2.60,826.4,,5.1,2004,the Archer ,,
OGLE2-TR-L9,OGLE2-TR-L9 b,4.34,1379.4,2.49,0.0308,2007,the Keel,,
OGLE-TR-10,OGLE-TR-10 b,0.68,216.1,3.10,0.04162,2004,the Archer ,,
OGLE-TR-111,OGLE-TR-111 b,0.54,171.6,4.01,0.047,2004,the Keel,,
OGLE-TR-113,OGLE-TR-113 b,1.24,394.1,1.43,0.0229,2004,the Keel,,
OGLE-TR-132,OGLE-TR-132 b,1.17,371.9,1.69,0.0306,2004,the Keel,,
OGLE-TR-182,OGLE-TR-182 b,1.06,336.9,3.98,0.051,2007,the Keel,,16.8
OGLE-TR-211,OGLE-TR-211 b,0.75,238.4,3.68,0.051,2007,the Keel,,
OGLE-TR-56,OGLE-TR-56 b,1.30,413.2,1.21,0.0225,2002,the Archer ,,16.6
tau Bootis,tau Bootis b,5.90,1875.2,3.31,0.046,1996,the Herdsman ,Visible to the naked eye,4.5
tau1 Gruis,tau1 Gruis b,1.26,400.5,1311.00,2.56,2002,the Crane ,Very faint to the naked eye,6.0
TrES-1,TrES-1 b,0.76,241.9,3.03,0.0393,2004,the Lyre,,11.8
TrES-2,TrES-2 b,1.25,398.2,2.47,0.03556,2006,the Dragon ,,11.4
TrES-3,TrES-3 b,1.91,607.1,1.31,0.0226,2007,the Hercules ,,12.4
TrES-4,TrES-4 b,0.92,291.5,3.55,0.05084,2007,the Hercules ,,11.6
V391 Pegasi,V391 Pegasi b,3.20,1017.1,1170.00,1.7,2007,the Winged Horse ,,14.6
WASP-1,WASP-1 b,0.86,273.3,2.52,0.0382,2006,the Chained Maiden,,11.8
WASP-10,WASP-10 b,3.16,1004.3,3.09,0.0371,2008,the Winged Horse ,,12.7
WASP-11-HAT-P-10,WASP-11-HAT-P-10 b,0.46,146.2,3.72,0.0439,2008,the Ram,,11.9
WASP-12,WASP-12 b,1.40,446.2,1.09,0.02293,2008,the Charioteer ,,11.7
WASP-14,WASP-14 b,7.34,2333.2,2.24,0.036,2008,the Herdsman ,Visible through binocular,9.8
WASP-2,WASP-2 b,0.85,269.2,2.15,0.03138,2006,the Dolphin ,,12.0
WASP-3,WASP-3 b,2.06,654.7,1.85,0.0313,2007,the Lyre,,10.6
WASP-4,WASP-4 b,1.24,393.2,1.34,0.02312,2007,the Phoenix ,,12.6
WASP-5,WASP-5 b,1.64,520.3,1.63,0.02729,2007,the Phoenix ,,12.3
WASP-7,WASP-7 b,0.96,305.1,4.95,0.0617,2008,the Microscope,Visible through binocular,9.5
ksi Aquilae,ksi Aquilae b,2.80,889.9,136.75,0.68,2008,the Eagle,Visible to the naked eye,4.7
XO-1,XO-1 b,0.90,286.0,3.94,0.0488,2006,the Northern Crown ,,11.3
XO-2,XO-2 b,0.62,197.1,2.62,0.0369,2007,the Lynx,,11.2
XO-3,XO-3 b,11.79,3747.2,3.19,0.0454,2007,the Giraffe,Visible through binocular,9.8
XO-4,XO-4 b,1.72,546.7,4.13,0.0555,2008,the Lynx,,10.7
XO-5,XO-5 b,1.08,342.3,4.19,0.0487,2008,the Lynx,,12.1
,,,,,,,,,
,,,,,,,,,
1 star + 2 exoplanets (20 systems),,,,,,,,,
,,,,,,,,,
47 Ursae Majoris,47 Ursae Majoris b,2.53,804.1,1078.00,2.1,1996,the Great Bear ,Visible to the naked eye,5.1
,47 Ursae Majoris c,0.54,171.6,2391.00,3.6,2001,,,
GJ 317,GJ 317 b,1.80,572.1,691.78,1.15,2007,the Compass ,,12.0
,GJ 317 c,2.00,635.7,10000.00,30,2007,,,
HD 108874,HD 108874 b,1.36,432.2,395.40,1.051,2003,the Bernice's Hair,Visible through binocular,8.8
,HD 108874 c,1.02,323.6,1605.80,2.68,2005,,,
HD 11964,HD 11964 b,0.62,197.7,1945.00,3.16,2005,the Sea Monster,Very faint to the naked eye,6.4
,HD 11964 c,0.08,25.1,37.91,0.229,2005,,,
HD 12661,HD 12661 b,2.30,731.0,263.60,0.83,2000,the Ram,Visible through binocular,7.4
,HD 12661 c,1.57,499.0,1708.00,2.56,2002,,,
HD 128311,HD 128311 b,2.18,692.9,448.60,1.099,2002,the Herdsman ,Visible through binocular,7.5
,HD 128311 c,3.21,1020.2,919.00,1.76,2005,,,
HD 155358,HD 155358 b,0.85,270.2,194.30,0.64,2007,the Hercules ,Visible through binocular,7.3
,HD 155358 c,0.82,260.6,391.90,1.02,2007,,,
HD 169830,HD 169830 b,2.88,915.4,225.62,0.81,2000,the Archer ,Faint to the naked eye,5.9
,HD 169830 c,4.04,1284.0,2102.00,3.6,2003,,,
HD 183263,HD 183263 b,3.67,1166.4,626.50,1.51,2004,the Eagle,Visible through binocular,7.9
,HD 183263 c,3.82,1214.1,2950.00,4.25,2008,,,
HD 187123,HD 187123 b,0.52,165.3,3.10,0.0426,1998,the Swan ,Visible through binocular,7.9
,HD 187123 c,1.99,632.5,3810.00,4.89,1998,,,
HD 190360,HD 190360 b,1.50,477.4,2891.00,3.92,2003,the Swan ,Faint to the naked eye,5.7
,HD 190360 c,0.06,18.1,17.10,0.128,2005,,,
HD 217107,HD 217107 b,1.33,422.7,7.13,0.073,1998,the Fishes ,Very faint to the naked eye,6.2
,HD 217107 c,2.49,791.4,4210.00,5.27,1998,,,
HD 45364,HD 45364 b,0.19,59.5,226.93,0.6813,2008,the Great Dog,Visible through binocular,8.1
,HD 45364 c,0.66,209.1,342.85,0.8972,2008,,,
HD 47186,HD 47186 b,0.07,22.8,4.08,0.05,2008,the Great Dog,Visible through binocular,7.8
,HD 47186 c,0.35,111.4,1353.60,2.395,2008,,,
HD 60532,HD 60532 b,3.15,1001.2,201.83,0.77,2008,the Stern ,Visible to the naked eye,4.5
,HD 60532 c,7.46,2371.0,607.06,1.58,2008,,,
HD 73526,HD 73526 b,2.90,921.7,188.30,0.66,2002,the Sails ,Visible through binocular,9.0
,HD 73526 c,2.50,794.6,377.80,1.05,2006,,,
HD 74156,HD 74156 b,1.88,597.5,51.65,0.294,2003,the Female Water Snake,Visible through binocular,7.6
,HD 74156 c,8.03,2552.2,2476.00,3.4,2003,,,
HD 82943,HD 82943 b,4.80,1525.6,442.40,1.19,2003,the Female Water Snake,Visible through binocular,6.5
,HD 82943 c,4.78,1519.2,219.30,0.746,2003,,,
HIP 14810,HIP 14810 b,3.88,1233.2,6.67,0.0692,2006,the Ram,Visible through binocular,8.5
,HIP 14810 c,1.28,406.8,147.73,0.545,2006,,,
OGLE-06-109L,OGLE-06-109L b,0.73,231.1,1790.00,2.3,2008,the Scorpion ,,
,OGLE-06-109L c,0.27,86.1,4931.00,4.5,2008,,,
,,,,,,,,,
,,,,,,,,,
1 star + 3 exoplanets (9 systems),,,,,,,,,
,,,,,,,,,
GJ 581,GJ 581 b,0.05,15.9,5.37,0.041,2005,the Scales,,10.6
,GJ 581 c,0.02,5.4,12.92,0.073,2007,,,
,GJ 581 d,0.02,6.0,66.64,0.22,2007,,,
Gliese 876,Gliese 876 b,1.93,612.5,61.03,0.208317,2000,the Water Bearer,,10.2
,Gliese 876 c,0.64,202.5,30.23,0.12959,2000,,,
,Gliese 876 d,0.02,5.4,1.94,0.02080665,2005,,,
HD 181433,HD 181433 b,0.02,7.6,9.37,0.08,2008,the Peacock ,Visible through binocular,8.4
,HD 181433 c,0.64,203.4,962.00,1.76,2008,,,
,HD 181433 d,0.54,171.6,2172.00,3,2008,,,
HD 37124,HD 37124 b,0.68,214.5,154.38,0.53364,1999,the Bull ,Visible through binocular,7.7
,HD 37124 c,0.65,207.2,885.50,1.71,2005,,,
,HD 37124 d,0.70,221.2,1862.00,2.807,2003,,,
HD 40307,HD 40307 b,0.01,4.0,4.31,0.0468,2008,the Painter's Easel ,Visible through binocular,7.2
,HD 40307 c,0.02,6.6,9.62,0.0799,2008,,,
,HD 40307 d,0.03,9.5,20.43,0.1321,2008,,,
HD 69830,HD 69830 b,0.033,10.5,8.667,0.0785,2006,the Stern ,Faint to the naked eye,6.0
,HD 69830 c,0.038,12.1,31.56,0.186,2006,,,
,HD 69830 d,0.06,18.4,197.00,0.63,2006,,,
HR 8799,HR 8799 b,7.00,2224.8,164250.00,68,2008,the Winged Horse ,Faint to the naked eye,6.0
,HR 8799 c,10.00,3178.3,82145.00,42.9,2008,,,
,HR 8799 d,10.00,3178.3,41054.00,27,2008,,,
PSR 1257 12,PSR 1257 12 b,0.00007,0.022,25.26,0.19,1992,the Maiden,,
,PSR 1257 12 c,0.01,4.1,66.54,0.36,1992,,,
,PSR 1257 12 d,0.01,3.8,98.21,0.46,1992,,,
upsilon Andromedae,upsilon Andromedae b,0.62,197.1,4.62,0.059,1996,the Chained Maiden,Visible to the naked eye,4.1
,upsilon Andromedae c,1.80,572.1,237.70,0.861,1999,,,
,upsilon Andromedae d,10.19,3238.7,1302.61,2.55,1999,,,
,,,,,,,,,
,,,,,,,,,
1 star + 4 exoplanets (1 system),,,,,,,,,
,,,,,,,,,
mu Arae,mu Arae b,1.68,532.7,643.25,1.5,2000,the Altar,Visible to the naked eye,5.2
,mu Arae c,0.03,10.6,9.64,0.09094,2004,,,
,mu Arae d,0.52,165.9,310.55,0.921,2004,,,
,mu Arae e,1.81,576.5,4205.80,5.235,2006,,,
,,,,,,,,,
,,,,,,,,,
1 star + 5 exoplanets (1 system),,,,,,,,,
,,,,,,,,,
55 Cancri,55  Cancri b,0.80,254.3,14.65,0.1134,1996,the Crab,Faint to the naked eye,6.0
,55  Cancri c,0.17,53.7,44.34,0.2403,2002,,,
,55  Cancri d,3.84,1218.9,5218.00,5.76,2002,,,
,55  Cancri e,0.03,8.3,0.74,0.0156,2004,,,
,55  Cancri f,0.14,45.8,260.70,0.781,2007,,,
